Time,SmoothedRTT
0.0,0.0
1.0700000000000003,7.261
2.0700000000000003,7.057
3.0700000000000003,7.278
4.07,7.632
5.07,7.335
6.07,7.137
7.07,6.911
8.07,7.147
9.07,7.419
10.07,7.269
11.07,7.159
12.07,7.024
13.07,7.213
14.07,7.219
15.07,7.034
16.08,7.232
17.08,7.13
18.08,7.135
19.08,7.195
20.08,7.098
21.08,7.182
22.08,7.09
23.08,6.974
24.08,6.953
25.08,7.35
26.08,7.572
27.08,7.492
28.08,7.154
29.08,7.071
30.08,7.167
31.08,7.423
32.08,4.047
33.08,7.113
34.08,10.635
35.09,7.712
36.09,7.015
37.09,7.153
38.09,7.034
39.09,6.857
40.09,6.956
41.09,6.923
42.09,6.864
43.099999999999994,7.243
44.099999999999994,6.93
45.099999999999994,7.247
46.099999999999994,7.01
47.099999999999994,7.526
48.099999999999994,7.048
49.099999999999994,6.962
50.099999999999994,7.226
51.099999999999994,7.353
52.099999999999994,7.002
53.099999999999994,7.082
54.099999999999994,7.074
55.099999999999994,7.229
56.099999999999994,7.078
57.099999999999994,7.523
58.099999999999994,7.117
59.099999999999994,7.138
60.099999999999994,6.982
61.099999999999994,6.943
62.099999999999994,7.042
63.099999999999994,7.749
64.1,6.159
65.1,2.906
66.1,7.532
67.1,7.044
68.1,6.983
69.11,7.144
70.11,7.0
71.11,6.983
72.11,6.965
73.11,6.945
74.11,7.214
75.11,6.94
76.11,7.136
77.11,6.956
78.11,7.231
79.11,7.197
80.11,6.947
81.11,7.158
82.11,7.074
83.11,6.879
84.11,7.102
85.11,6.933
86.11,7.055
87.11,7.14
88.11,7.193
89.11,7.356
90.11,7.181
91.11,7.014
92.11,6.82
93.11,6.835
94.11,7.194
95.11,7.075
96.11,7.042
97.11,5.375
98.11,3.177
99.11,7.411
100.11,7.142
101.11,6.808
102.11,6.848
103.11,7.171
104.11,6.788
105.11,7.065
106.11,6.786
107.11,6.949
108.11,6.94
109.11,6.928
110.11,6.924
111.11,6.796
112.11,6.928
113.11,7.06
114.11,7.016
115.11,7.146
116.11,6.828
117.11,7.026
118.11,7.165
