,Time,Rcvd_Mbps,Sent_Mbps,SmoothedRTT,Mark_pct,Mark_Marked,Mark_Total,Lost_pct,Lost_Lost,Lost_Total
0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0,1
1,1.0700000000000003,0.061,0.001,7.261,0.0,0,7,0.0,0,7
2,2.0700000000000003,11.544,0.181,7.057,0.29,3,1031,0.0,0,1031
3,3.0700000000000003,29.14,0.458,7.278,1.11,29,2602,0.0,0,2602
4,4.07,37.45,0.589,7.632,2.0,67,3344,0.0,0,3344
5,5.07,49.582,0.779,7.335,1.6,71,4427,0.0,0,4427
6,6.07,61.161,0.961,7.137,1.3,71,5461,0.0,0,5461
7,7.07,75.358,1.184,6.911,0.28,19,6730,0.0,0,6730
8,8.07,81.188,1.276,7.147,4.55,330,7251,0.0,0,7251
9,9.07,58.681,0.922,7.419,1.3,68,5241,0.0,0,5241
10,10.07,63.37,0.996,7.269,1.06,60,5660,0.0,0,5660
11,11.07,70.436,1.107,7.159,1.45,91,6289,0.0,0,6289
12,12.07,72.142,1.134,7.024,1.43,92,6442,0.0,0,6442
13,13.07,68.767,1.081,7.213,3.89,239,6140,0.0,0,6140
14,14.07,62.216,0.978,7.219,1.17,65,5556,0.0,0,5556
15,15.07,69.922,1.099,7.034,0.91,57,6244,0.0,0,6244
16,16.08,73.48,1.155,7.232,4.77,313,6561,0.0,0,6561
17,17.08,63.851,1.003,7.13,3.19,182,5702,0.0,0,5702
18,18.08,60.736,0.954,7.135,0.85,46,5436,0.0,0,5436
19,19.08,66.095,1.039,7.195,1.22,72,5903,0.0,0,5903
20,20.08,69.469,1.092,7.098,2.42,150,6203,0.0,0,6203
21,21.08,66.039,1.038,7.182,3.58,211,5898,0.0,0,5898
22,22.08,59.557,0.936,7.09,1.5,80,5318,0.0,0,5318
23,23.08,70.402,1.106,6.974,1.08,68,6286,0.0,0,6286
24,24.08,76.202,1.197,6.953,1.87,127,6804,0.0,0,6804
25,25.08,68.147,1.071,7.35,2.22,135,6086,0.0,0,6086
26,26.08,54.63,0.858,7.572,4.22,206,4878,0.0,0,4878
27,27.08,40.759,0.64,7.492,7.25,264,3640,0.0,0,3640
28,28.08,60.445,0.95,7.154,1.02,55,5397,0.0,0,5397
29,29.08,71.982,1.131,7.071,1.04,67,6428,0.0,0,6428
30,30.08,73.15,1.15,7.167,1.94,127,6533,0.0,0,6533
31,31.08,75.027,1.179,7.423,3.75,251,6699,0.0,0,6699
32,32.08,73.64,1.157,4.047,33.47,2201,6576,0.0,0,6576
33,33.08,20.818,0.327,7.113,0.05,1,1861,0.0,0,1861
34,34.08,58.435,0.918,10.635,0.0,0,5219,0.0,0,5219
35,35.09,101.476,1.595,7.712,1.15,105,9155,0.74,68,9155
36,36.09,103.067,1.62,7.015,1.63,150,9204,0.0,0,9204
37,37.09,100.906,1.586,7.153,3.66,331,9036,0.0,0,9036
38,38.09,84.603,1.329,7.034,1.26,95,7554,0.0,0,7554
39,39.09,94.825,1.49,6.857,0.4,34,8467,0.0,0,8467
40,40.09,99.72,1.567,6.956,1.33,118,8905,0.0,0,8905
41,41.09,101.813,1.6,6.923,1.11,101,9091,0.0,0,9091
42,42.09,101.4,1.593,6.864,1.44,130,9054,0.0,0,9054
43,43.099999999999994,94.409,1.484,7.243,2.05,173,8430,0.0,0,8430
44,44.099999999999994,99.21,1.559,6.93,0.99,88,8859,0.0,0,8859
45,45.099999999999994,84.044,1.321,7.247,5.52,414,7506,0.0,0,7506
46,46.099999999999994,60.533,0.951,7.01,1.04,56,5406,0.0,0,5406
47,47.099999999999994,58.459,0.919,7.526,6.45,337,5221,0.0,0,5221
48,48.099999999999994,68.668,1.079,7.048,0.26,16,6132,0.0,0,6132
49,49.099999999999994,84.554,1.329,6.962,0.49,37,7551,0.0,0,7551
50,50.099999999999994,87.975,1.382,7.226,1.97,155,7858,0.0,0,7858
51,51.099999999999994,63.874,1.004,7.353,5.35,305,5704,0.0,0,5704
52,52.099999999999994,78.1,1.227,7.002,0.29,20,6974,0.0,0,6974
53,53.099999999999994,77.421,1.217,7.082,4.21,291,6913,0.0,0,6913
54,54.099999999999994,78.957,1.241,7.074,0.85,60,7050,0.0,0,7050
55,55.099999999999994,83.861,1.318,7.229,1.5,112,7489,0.0,0,7489
56,56.099999999999994,88.674,1.393,7.078,1.17,93,7920,0.0,0,7920
57,57.099999999999994,80.47,1.265,7.523,5.27,379,7185,0.0,0,7185
58,58.099999999999994,60.834,0.956,7.117,1.09,59,5436,0.0,0,5436
59,59.099999999999994,75.354,1.184,7.138,0.71,48,6729,0.0,0,6729
60,60.099999999999994,90.464,1.422,6.982,1.18,95,8078,0.0,0,8078
61,61.099999999999994,97.456,1.531,6.943,0.41,36,8702,0.0,0,8702
62,62.099999999999994,105.198,1.653,7.042,0.48,45,9393,0.0,0,9393
63,63.099999999999994,81.957,1.288,7.749,7.13,522,7324,0.0,0,7324
64,64.1,74.473,1.17,6.159,12.21,812,6650,0.0,0,6650
65,65.1,58.852,0.925,2.906,20.5,1081,5274,0.0,0,5274
66,66.1,29.856,0.469,7.532,0.0,0,2669,0.37,10,2669
67,67.1,39.301,0.618,7.044,0.14,5,3509,0.0,0,3509
68,68.1,60.383,0.949,6.983,0.8,43,5392,0.0,0,5392
69,69.11,63.292,0.995,7.144,3.87,219,5653,0.0,0,5653
70,70.11,64.236,1.009,7.0,0.7,40,5736,0.0,0,5736
71,71.11,73.09,1.149,6.983,1.75,114,6526,0.0,0,6526
72,72.11,79.541,1.25,6.965,0.84,60,7102,0.0,0,7102
73,73.11,86.82,1.364,6.945,1.1,85,7752,0.0,0,7752
74,74.11,70.613,1.11,7.214,6.46,407,6305,0.0,0,6305
75,75.11,63.442,0.997,6.94,0.42,24,5666,0.0,0,5666
76,76.11,66.148,1.039,7.136,2.18,129,5907,0.0,0,5907
77,77.11,81.589,1.282,6.956,0.59,43,7285,0.0,0,7285
78,78.11,72.647,1.142,7.231,5.29,343,6487,0.0,0,6487
79,79.11,59.637,0.937,7.197,2.8,149,5325,0.0,0,5325
80,80.11,63.434,0.997,6.947,1.91,108,5665,0.0,0,5665
81,81.11,59.158,0.93,7.158,2.2,116,5282,0.0,0,5282
82,82.11,60.645,0.953,7.074,2.42,131,5415,0.0,0,5415
