,Time,Throughput (Mbit/s)
0,0,81.567712
1,1,166.33552
2,2,149.977264
3,3,124.96848
4,4,119.57032
5,5,110.206336
6,6,106.843968
7,7,91.410032
8,8,95.355088
9,9,98.530368
10,10,103.260112
11,11,103.217888
12,12,94.455744
13,13,107.843408
14,14,101.861024
15,15,95.43968
16,16,85.601136
17,17,111.040352
18,18,109.229952
19,19,104.514512
20,20,102.470144
21,21,101.675776
22,22,103.085088
23,23,97.832656
24,24,93.808864
25,25,102.56128
26,26,99.957744
27,27,112.517792
28,28,101.679696
29,29,96.017808
30,30,93.714032
31,31,79.442416
32,32,95.285216
33,33,143.39944
34,34,124.315168
35,35,120.446672
36,36,110.087088
37,37,111.969584
38,38,121.964368
39,39,113.895312
40,40,115.316016
41,41,115.645184
42,42,107.748208
43,43,118.906304
44,44,109.01656
45,45,142.565984
46,46,143.391568
47,47,101.793136
48,48,131.197616
49,49,127.583584
50,50,120.84032
51,51,136.58224
52,52,114.08936
53,53,128.683696
54,54,120.832624
55,55,120.235568
56,56,117.09568
57,57,127.247504
58,58,129.72216
59,59,131.281264
60,60,121.758608
61,61,117.717088
62,62,93.124064
63,63,108.492704
64,64,107.836944
65,65,130.09856
66,66,133.796016
67,67,120.467776
68,68,95.659072
69,69,111.990832
70,70,103.524816
71,71,100.628288
72,72,92.257456
73,73,85.22288
74,74,121.006896
75,75,111.93016
76,76,102.15344
77,77,90.938016
78,78,104.096752
79,79,120.148288
80,80,112.569872
81,81,110.247296
82,82,113.598656
83,83,103.649232
84,84,99.65224
85,85,96.547584
86,86,110.65696
87,87,113.099152
88,88,105.404288
89,89,108.575536
90,90,98.241136
91,91,96.7648
92,92,83.945392
93,93,83.550848
94,94,87.931712
95,95,123.108256
96,96,115.022528
97,97,70.62128
98,98,90.343008
99,99,157.82448
100,100,200.04
101,101,203.385168
102,102,173.462688
103,103,182.283264
104,104,156.300496
105,105,189.74296
106,106,166.491328
107,107,162.479152
108,108,171.521488
109,109,176.308336
110,110,163.730016
111,111,159.39184
112,112,161.07712
113,113,177.897648
114,114,173.844176
115,115,121.111568
116,116,127.728336
117,117,143.759792
118,118,185.64808
119,119,94.610248
